REMARK ROI 2D Peak Detection System, File: ./ft/test001.ft2
REMARK Detection Levels: -9.68962e+09 and 9.68962e+06
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 735066, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.3) Y(2.0)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(5.0Hz)
REMARK Total Peaks: 135, Good Peaks: 135, Questionable Peaks: 0
REMARK Clusters: 81, Max Cluster Size: 14
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS 1H           1   617    6.998ppm    3.992ppm
DATA  Y_AXIS 13C          1  1026  105.963ppm   89.385ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

  23   373.117   364.628  0.961  0.440    5.182  100.082  3888.198 18883.367   7.507   4.502   27.490   13.741  369  377  362  367  2.261666e+07  5.569968e+05  7.840570e+08 0.00000 1 None   18    4
  24   370.406   369.845  2.228  0.974    5.195   99.998  3898.125 18867.445   6.143   5.349   22.495   16.324  370  371  370  370  1.021154e+07  5.553559e+05  1.999765e+07 0.00000 1 None   21    1
  25   372.631   374.202  1.896  0.584    5.185   99.927  3889.980 18854.148   6.308   4.330   23.102   13.214  371  374  373  375  1.196804e+07  5.559256e+05  1.237018e+08 0.00000 1 None   22    1
  26   209.088   402.628  0.444  0.441    5.983   99.467  4488.890 18767.398   6.853   5.926   25.095   18.085  204  214  399  407  3.900521e+07  5.529954e+05  1.913427e+09 0.00000 1 None   23    1
  27   248.509   424.696  0.992  0.343    5.790   99.110  4344.526 18700.051   5.289   3.880   19.369   11.842  246  251  423  426  1.988971e+07  5.679247e+05  3.179437e+08 0.00000 1 None   24    1
  28   319.883   432.245  1.056  0.850    5.442   98.988  4083.146 18677.016   5.438   4.776   19.913   14.577  319  320  432  433  1.063374e+07  5.537132e+05  3.991864e+07 0.00000 1 None   25    1
  29   302.535   445.433  1.262  0.441    5.527   98.775  4146.676 18636.768   8.234   5.677   30.153   17.326  297  309  441  449  4.020794e+07  5.593639e+05  2.840568e+09 0.00000 1 None   26   10
  30   321.882   458.999  1.157  0.219    5.432   98.556  4075.828 18595.369  11.662   5.671   42.706   17.308  314  330  455  463  4.410353e+07  5.483212e+05  4.540950e+09 0.00000 1 None   26   10
  31   338.329   459.177  5.185  0.554    5.352   98.553  4015.597 18594.824  10.917   4.365   39.980   13.322  330  340  458  460  1.221091e+07  5.528176e+05  4.456217e+08 0.00000 1 None   26   10
  32   306.610   459.569  0.173  0.076    5.507   98.546  4131.753 18593.629   6.806   4.743   24.925   14.475  302  312  457  463  1.617863e+08  5.619438e+05  6.642105e+09 0.00000 1 None   26   10
  33   457.697   459.836  1.134  0.585    4.769   98.542  3578.456 18592.812   5.567   4.809   20.386   14.677  455  459  458  462  1.380690e+07  5.529048e+05  2.595180e+08 0.00000 1 None   27    1
  34   280.524   467.193  1.542  0.771    5.634   98.423  4227.285 18570.363   6.982   6.901   25.570   21.061  277  286  463  472  2.281730e+07  5.556964e+05  2.248603e+09 0.00000 1 None   26   10
  35   323.703   470.645  2.030  0.395    5.423   98.367  4069.159 18559.828   8.465   3.877   31.001   11.832  318  327  468  472  1.827715e+07  5.613612e+05  6.601706e+08 0.00000 1 None   26   10
  36   285.241   474.164  0.164  0.058    5.611   98.310  4210.011 18549.088   6.510   4.428   23.841   13.514  280  290  471  477  1.172943e+08  5.522466e+05  4.403610e+09 0.00000 1 None   26   10
  37   306.820   475.173  0.117  0.042    5.506   98.294  4130.984 18546.008   6.173   4.008   22.605   12.232  303  311  472  478  1.344950e+08  5.528449e+05  4.084000e+09 0.00000 1 None   26   10
  38   457.695   474.984  1.000  0.496    4.769   98.297  3578.465 18546.586   5.163   4.677   18.908   14.274  456  459  474  476  1.349504e+07  5.535768e+05  1.373448e+08 0.00000 1 None   28    1
  39   256.403   477.363  0.988  0.357    5.752   98.259  4315.616 18539.324   6.562   4.413   24.033   13.467  252  261  474  480  2.674794e+07  5.604824e+05  1.046130e+09 0.00000 1 None   29   10
